message_event_sequence,pid,phase,sender,recipient,message,time_sent,pairing_mode,planner_event_sequence,planner_call_id,planner_lag_seconds,agent_action_count,agent_top_orders,agent_top_probability,agent_entropy,bp_top_orders,bp_top_probability,agent_bp_total_variation
196,206556,S1901M,RUSSIA,ITALY,"Hey Italy, good luck for the game! I think we make natural allies - what are your thoughts on our shared neighbours? Would you be open to coordinating on our early plans?",112216,exact_sender_recipient_phase,193,run_bilateral_search_with_conditional_evs-206556-104,5.687672138214111,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8196298305009402,0.7642258424107342,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8434847326795196,0.034019094637784436
225,206556,S1901M,AUSTRIA,RUSSIA,"Absolutely! Glad to hear it, it really is my favourite. So, my natural expansion will be to Serbia and Greece (and then hopefully Bulgaria if Italy isn't causing me problems). You can have Romania in 1901 of course, and then hopefully we can both move on to Bulgaria and Constantinople?",112808,exact_sender_recipient_phase,224,run_bilateral_search_with_conditional_evs-206556-120,1.280432939529419,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9803349867182402,0.12056723772523971,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9734282541741816,0.0069312740052154135
254,206556,S1901M,GERMANY,RUSSIA,"Hello Russia! Good luck to you as well. I have no problem letting you take Sweden, as I would like to start out as friends. Are you planning on focusing on the North or the South?",113511,exact_sender_recipient_phase,253,run_bilateral_search_with_conditional_evs-206556-135,2.271775484085083,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.6541672118133299,1.0053060282090733,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7275489084263741,0.07380708748712288
267,206556,S1901M,RUSSIA,FRANCE,"Hey France, good luck for the game! I think we make natural allies - what are your thoughts on our shared neighbours? Would you be open to coordinating our early plans in some capacity?",115429,exact_sender_recipient_phase,260,run_bilateral_search_with_conditional_evs-206556-139,8.066160678863525,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8049239301929654,0.8082817149628454,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8434847326795196,0.038960685354358864
296,206556,S1901M,ITALY,RUSSIA,Hey Russia! Good luck to you as well. I agree that we are natural allies and am very interested in working together. Any thoughts on our initial neighbors?,116116,exact_sender_recipient_phase,295,run_bilateral_search_with_conditional_evs-206556-157,3.2598392963409424,11,A ROM - APU | A VEN H | F NAP - ION,0.6395482986340864,1.2535631558811564,A ROM - APU | A VEN H | F NAP - ION,0.718839328687338,0.10017665207376694
325,206556,S1901M,RUSSIA,ITALY,I don't have anything firm yet - Turkey has asked about the possibility of a Jug but that's all I've gotten from them so far. How about you?,123495,exact_sender_recipient_phase,324,run_bilateral_search_with_conditional_evs-206556-172,1.4687879085540771,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.5174265957983913,1.3611185738472487,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.6664677329216835,0.1530744583969646
354,206556,S1901M,GERMANY,AUSTRIA,Hello Austria! Good luck to you as well. A central alliance would be very beneficial to me so I would love to be friends. Currently Russia and I are just discussing how we should handle Sweden,124994,exact_sender_recipient_phase,353,run_bilateral_search_with_conditional_evs-206556-187,1.7482807636260986,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7907326320836349,0.7580079885754123,A BER - KIE | A MUN - RUH | F KIE - DEN,0.756293339064675,0.03451750407711013
383,206556,S1901M,RUSSIA,TURKEY,"Hey Turkey, good luck for the game! I'm absolutely up for a Jug - how would you want to proceed with that?",127595,exact_sender_recipient_phase,382,run_bilateral_search_with_conditional_evs-206556-202,0.7129237651824951,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.6609647281062266,1.0286901986416752,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.7424247703049016,0.08312048428793323
412,206556,S1901M,ITALY,AUSTRIA,"I'm glad to hear it. If you're down to work together, I think taking out Turkey is a great way to start.",127895,exact_sender_recipient_phase,411,run_bilateral_search_with_conditional_evs-206556-217,1.6723756790161133,11,A ROM - APU | A VEN H | F NAP - ION,0.9003996723965698,0.5068960969471943,A ROM - APU | A VEN H | F NAP - ION,0.8186414138580392,0.08175825853853044
425,206556,S1901M,AUSTRIA,FRANCE,"Hey France, good luck for the game! Not sure we can do a ton for each other at the moment, but let me know if you think we might be able to work together on anything?",127930,exact_sender_recipient_phase,416,run_bilateral_search_with_conditional_evs-206556-220,5.648776054382324,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.8377077555447358,0.7140813163333437,A BUD - SER | A VIE - GAL | F TRI - ALB,0.8646888635698865,0.04243345883168493
454,206556,S1901M,FRANCE,AUSTRIA,Absolutely! Good luck to you as well. Hopefully we'll have the chance to work together soon,132930,exact_sender_recipient_phase,453,run_bilateral_search_with_conditional_evs-206556-239,2.7000129222869873,11,A MAR - SPA | A PAR - BUR | F BRE - MAO,0.30498048456022303,2.0011771391552577,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.2541891654133875,0.10484870635146652
483,206556,S1901M,RUSSIA,GERMANY,"Thanks! Glad to hear it :)

I'm leaning towards the South, but I haven't decided yet - would you be able to commit to opening Kie-hol? That would go a long way to making me feel more secure!",132957,exact_sender_recipient_phase,482,run_bilateral_search_with_conditional_evs-206556-254,0.7531940937042236,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8081897339472737,0.8200103773434748,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.849377796308559,0.046240643065776244
512,206556,S1901M,ITALY,FRANCE,Hey France! I would love nothing more than for us to leave each other alone and focus elsewhere. Can we agree to keep Pie empty?,133295,exact_sender_recipient_phase,511,run_bilateral_search_with_conditional_evs-206556-269,0.6766772270202637,11,A ROM - APU | A VEN H | F NAP - ION,0.6840262788389772,1.1557006764198734,A ROM - APU | A VEN H | F NAP - ION,0.7206132394448067,0.04844640662536097
541,206556,S1901M,ITALY,GERMANY,Glad to hear it!,136341,exact_sender_recipient_phase,540,run_bilateral_search_with_conditional_evs-206556-284,0.6604113578796387,11,A ROM - APU | A VEN H | F NAP - ION,0.8660183237530803,0.6505120729627193,A ROM - APU | A VEN H | F NAP - ION,0.7508052313952704,0.11521309235780974
570,206556,S1901M,AUSTRIA,ITALY,"Excellent! I'm going to head down for Serbia and Greece, and then hopefully try to take Bulgaria from there? It will depend a lot on how Russia is feeling but you should be able to get a strong fleet advantage by the end of the year.",136593,exact_sender_recipient_phase,569,run_bilateral_search_with_conditional_evs-206556-299,2.448509454727173,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.7660398110551245,0.854121066560767,A BUD - SER | A VIE - GAL | F TRI - ALB,0.7059534813107537,0.07314474625369166
599,206556,S1901M,AUSTRIA,GERMANY,"Excellent, let me know how it goes!",138167,exact_sender_recipient_phase,598,run_bilateral_search_with_conditional_evs-206556-314,0.7426891326904297,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.7347047254418456,0.895535570776068,A BUD - SER | A VIE - GAL | F TRI - ALB,0.570558329738137,0.1649432011414475
628,206556,S1901M,GERMANY,FRANCE,"Hey France! Good luck to you, I hope we can start off as friends. I think we can agree to keep Burgundy as a DMZ so neither of us feels threatened? As for Belgium, I think we can agree we don't want England taking it?",144506,exact_sender_recipient_phase,627,run_bilateral_search_with_conditional_evs-206556-329,0.6622769832611084,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.8305628180131199,0.6632501402323512,A BER - KIE | A MUN - RUH | F KIE - DEN,0.8279320382722332,0.009923539642538132
641,206556,S1901M,ENGLAND,FRANCE,Hey France! I'd love a DMZ if you're down,144657,exact_sender_recipient_phase,632,run_bilateral_search_with_conditional_evs-206556-332,6.634166717529297,11,A LVP - YOR | F EDI - NWG | F LON - NTH,0.4733898009958681,1.144078507856217,A LVP - YOR | F EDI - NWG | F LON - NTH,0.4878471016443961,0.014727155787530328
670,206556,S1901M,ENGLAND,RUSSIA,"Sounds good to me, gl!",147157,exact_sender_recipient_phase,669,run_bilateral_search_with_conditional_evs-206556-351,0.5659208297729492,11,A LVP - YOR | F EDI - NWG | F LON - NTH,0.43609769682949334,1.3090897840449545,A LVP - YOR | F EDI - NWG | F LON - NTH,0.4747983033557282,0.10793664498149315
683,206556,S1901M,ITALY,TURKEY,Hey Turkey! Just wanted to say good luck and let you know I'm always open to working together if you have any thoughts.,147547,exact_sender_recipient_phase,682,run_bilateral_search_with_conditional_evs-206556-358,8.072751522064209,11,A ROM - APU | A VEN H | F NAP - ION,0.2922042150138961,1.8287867322960054,A ROM - APU | A VEN H | F NAP - ION,0.31063499069956113,0.08707938184794493
712,206556,S1901M,TURKEY,AUSTRIA,"Hi Austria! I'm not sure yet, but I'm open to suggestions",149047,exact_sender_recipient_phase,711,run_bilateral_search_with_conditional_evs-206556-373,1.049316167831421,9,A CON - BUL | A SMY - CON | F ANK - BLA,0.8762875185711896,0.5350170284157919,A CON - BUL | A SMY - CON | F ANK - BLA,0.8476512435227377,0.03640559977007169
738,206556,S1901M,ITALY,ENGLAND,Hey England! Just wanted to say good luck and let you know I'm always open to working together if you have any thoughts. Let me know if there's any way I can help you out!,154109,exact_sender_recipient_phase,729,run_bilateral_search_with_conditional_evs-206556-383,7.092583894729614,12,A ROM - APU | A VEN H | F NAP - ION,0.2774749152366099,1.8183985720088847,A ROM - APU | A VEN H | F NAP - ION,0.30868258377060304,0.13894494365546353
751,206556,S1901M,GERMANY,ENGLAND,Hey England! Good luck to you. I hope we can start off as friends. Just checking in to see if you had any initial plans. If you are willing to focus on Scandinavia then I can make sure you're not getting any trouble from Russia,156831,exact_sender_recipient_phase,742,run_bilateral_search_with_conditional_evs-206556-390,8.373018026351929,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7793337422675254,0.7794574111201156,A BER - KIE | A MUN - RUH | F KIE - DEN,0.805445503769646,0.03299047718654977
780,206556,S1901M,FRANCE,RUSSIA,I think we would be great allies! My current thought is to grab what I can in Iberia and not antagonize anyone too much in 1901. We can coordinate from there though. Do you have any immediate plans you want to discuss?,157792,exact_sender_recipient_phase,779,run_bilateral_search_with_conditional_evs-206556-409,1.7581851482391357,11,A MAR - SPA | A PAR - BUR | F BRE - MAO,0.30102028684878934,1.915721242118948,A MAR - SPA | A PAR - BUR | F BRE - MAO,0.253741813671998,0.07187742808096781
809,206556,S1901M,TURKEY,ITALY,Good luck to you too! Italy-turkey is a good alliance if the conditions are right. What are your thoughts on Austria?,159823,exact_sender_recipient_phase,808,run_bilateral_search_with_conditional_evs-206556-424,0.5761702060699463,9,A CON - BUL | A SMY - CON | F ANK - BLA,0.8738596794378879,0.5447569582812086,A CON - BUL | A SMY - CON | F ANK - BLA,0.8519493542809142,0.022917941084840264
838,206556,S1901M,ITALY,AUSTRIA,That sounds like a great start to me!,166753,exact_sender_recipient_phase,837,run_bilateral_search_with_conditional_evs-206556-439,0.6984663009643555,11,A ROM - APU | A VEN H | F NAP - ION,0.9647552480277846,0.18286797889526518,A ROM - APU | A VEN H | F NAP - ION,0.9479698218185212,0.016911811831434777
867,206556,S1901M,RUSSIA,AUSTRIA,"That sounds great to me! Would you be willing to let me into Rumania with an army instead of a fleet? It would make it easier for us to push against Turkey and for you to control the Balkans. What do you think?

If you can convince Italy to Lepanto that would be really great - do you think you could talk them into going with that? It's the second best option for an AI I think, and it gives you a little extra security",172166,exact_sender_recipient_phase,866,run_bilateral_search_with_conditional_evs-206556-454,0.7874720096588135,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.6145675520253918,1.1051676246405497,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.7755177829601028,0.16761537279774982
896,206556,S1901M,ITALY,TURKEY,Austria seems pretty friendly to me so far. I guess the best thing we can do now is watch their opening moves and take it from there.,178016,exact_sender_recipient_phase,895,run_bilateral_search_with_conditional_evs-206556-469,3.187084913253784,11,A ROM - APU | A VEN H | F NAP - ION,0.6715970857283503,1.2561360069655907,A ROM - APU | A VEN H | F NAP - ION,0.6353750953544892,0.06209670854228485
925,206556,S1901M,FRANCE,ITALY,"Pie DMZ is great with me. If we can expand it to include Gulf of Lyon and West Med, I'd love that as well",178516,exact_sender_recipient_phase,924,run_bilateral_search_with_conditional_evs-206556-484,1.2064578533172607,11,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.26679786106996606,2.0355855065809942,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.19252462788807753,0.10021947998518274
954,206556,S1901M,GERMANY,FRANCE,Also I'm open to other ideas about Belgium if you have any,181215,exact_sender_recipient_phase,953,run_bilateral_search_with_conditional_evs-206556-499,3.150944471359253,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.8735709770861851,0.5374995944798874,A BER - KIE | A MUN - RUH | F KIE - DEN,0.8771192331826008,0.008608119804674559
983,206556,S1901M,ENGLAND,ITALY,"Hey Italy, gl to you too!

I don't have any plans as of yet, but I'd be down to work with you down the line. So far, I haven't spoken to anyone that borders you, so I don't have much information to offer unfortunately",183231,exact_sender_recipient_phase,982,run_bilateral_search_with_conditional_evs-206556-514,4.274340867996216,11,A LVP - YOR | F EDI - NWG | F LON - NTH,0.5672897280536235,1.025881958674349,A LVP - YOR | F EDI - NWG | F LON - NTH,0.4848391407580693,0.08691236214703853
1012,206556,S1901M,FRANCE,ENGLAND,I'm very much down,183671,exact_sender_recipient_phase,1011,run_bilateral_search_with_conditional_evs-206556-529,0.6398775577545166,11,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.24884709127320379,2.062264999198986,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.17767713686838396,0.1765346035991669
1041,206556,S1901M,RUSSIA,FRANCE,"That sounds good to me! I'm also going for a cautious 1901, which is probably a good idea for Russia. Let's keep in touch and coordinate after we've gotten a sense of our neighbours and our own goals",187636,exact_sender_recipient_phase,1040,run_bilateral_search_with_conditional_evs-206556-544,2.2049484252929688,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.7381436762919287,1.017003082520931,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.757902337119779,0.021593159435045025
1070,206556,S1901M,AUSTRIA,TURKEY,"I haven't heard much from Russia yet, though of course they've only sent a short message so far. I'm hoping to take Serbia and Greece at least this year, but then we can hopefully work on getting you into Romania and Sevastopol?",187946,exact_sender_recipient_phase,1069,run_bilateral_search_with_conditional_evs-206556-559,1.423454761505127,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9295274557550718,0.34081446030971174,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9475473357155044,0.018019879960432292
1099,206556,S1901M,ITALY,RUSSIA,Austria seems pretty friendly to me so far. Guess we can just see their opening moves and take it from there.,190725,exact_sender_recipient_phase,1098,run_bilateral_search_with_conditional_evs-206556-574,0.7600319385528564,11,A ROM - APU | A VEN H | F NAP - ION,0.7687788138534019,0.9685826383120676,A ROM - APU | A VEN H | F NAP - ION,0.8140353192916654,0.059690919429960056
1128,206556,S1901M,ENGLAND,GERMANY,"Hey Germany, gl to you too!

I don't have any plans as of yet, I'll be happy to work with you down the line. So far, I haven't spoken to anyone that borders you, so I don't have much information to offer unfortunately",191167,exact_sender_recipient_phase,1127,run_bilateral_search_with_conditional_evs-206556-589,1.2662889957427979,11,A LVP - YOR | F EDI - NWG | F LON - NTH,0.5807459354486205,0.9977895624026689,A LVP - YOR | F EDI - NWG | F LON - NTH,0.5195080368695666,0.07071219138768232
1141,206556,S1901M,ENGLAND,AUSTRIA,"Hey Austria, gl to you! Hopefully we have the opportunity to work together",195239,exact_sender_recipient_phase,1130,run_bilateral_search_with_conditional_evs-206556-591,5.187378168106079,11,A LVP - EDI | F EDI - NWG | F LON - NTH,0.46770528988774956,1.1198516982009783,A LVP - EDI | F EDI - NWG | F LON - NTH,0.44512609844374823,0.07250084414316454
1170,206556,S1901M,ITALY,FRANCE,Sounds great to me. I'm glad to hear we've got a strong agreement on Dmzs!,196471,exact_sender_recipient_phase,1169,run_bilateral_search_with_conditional_evs-206556-611,1.3828716278076172,11,A ROM - APU | A VEN H | F NAP - ION,0.6142051801142877,1.3431791233519312,A ROM - APU | A VEN H | F NAP - ION,0.6740697500425467,0.06459653348270639
1199,206556,S1901M,FRANCE,GERMANY,That all sounds good to me,196839,exact_sender_recipient_phase,1198,run_bilateral_search_with_conditional_evs-206556-626,0.6893727779388428,11,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.27235738137131754,2.167249403513704,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.2895456126213032,0.06837098631835684
1228,206556,S1901M,GERMANY,ENGLAND,Yeah same. I'll let you know when I hear anything,197482,exact_sender_recipient_phase,1227,run_bilateral_search_with_conditional_evs-206556-641,0.717860221862793,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7598817396586931,0.9386541821241806,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7921941348746164,0.04195012729826151
1257,206556,S1901M,AUSTRIA,RUSSIA,"Yup, I'm in for an army in Rumania, although it will take some effort to swap the fleet out. I would be super fine with Italy lepanto, I think they're open to working together and so I'll do what I can to get that going!",198352,exact_sender_recipient_phase,1256,run_bilateral_search_with_conditional_evs-206556-656,0.8217506408691406,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9843766746738861,0.09850779047586858,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9794857192730757,0.004921044662051542
1299,206556,S1901M,FRANCE,RUSSIA,That's totally fine by me,200895,exact_sender_recipient_phase,1298,run_bilateral_search_with_conditional_evs-206556-678,3.302536725997925,11,A MAR - SPA | A PAR - BUR | F BRE - MAO,0.3116233742963671,1.8099297556644436,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.2970990481888029,0.06512661145896358
1357,206556,S1901M,AUSTRIA,ITALY,"Cool, do you think you're going to try to convoy to Tunis this year, or do you want to move to Ionian and then e med in the spring of next year?",204463,exact_sender_recipient_phase,1356,run_bilateral_search_with_conditional_evs-206556-708,1.558145523071289,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.5270179019258928,1.1139470746224154,A BUD - SER | A VIE - GAL | F TRI - ALB,0.423436646248791,0.10742038009239843
1386,206556,S1901M,FRANCE,ITALY,Me too!,205681,exact_sender_recipient_phase,1385,run_bilateral_search_with_conditional_evs-206556-723,0.7019824981689453,11,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.24790253410332053,1.9629809940008354,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.24075668319048243,0.09897390390535563
1415,206556,S1901M,ITALY,ENGLAND,No worries. France and Germany both seem pretty friendly so far so maybe that gives you a good idea of how the West will shake out.,207219,exact_sender_recipient_phase,1414,run_bilateral_search_with_conditional_evs-206556-738,0.8104639053344727,11,A ROM - APU | A VEN H | F NAP - ION,0.7022295341530653,1.1406002449599824,A ROM - APU | A VEN H | F NAP - ION,0.7117613481045663,0.04083222848945045
1444,206556,S1901M,AUSTRIA,ENGLAND,"Hey England, thanks for reaching out and good luck to you too! I'm sure we'll have opportunities to work together in the midgame or even later on, let's keep in touch!",208673,exact_sender_recipient_phase,1443,run_bilateral_search_with_conditional_evs-206556-753,0.8661997318267822,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.6929923957851504,1.0377926388941525,A BUD - SER | A VIE - GAL | F TRI - ALB,0.6666970332461025,0.03205548845535754
1473,206556,S1901M,RUSSIA,AUSTRIA,"Sounds good to me! I think the army in Rumania will be easier to cycle into Bulgaria anyways - it will be an extra army I can throw at Turkey, and it should also make our border a lot less tense.

Great, let me know if you have any luck convincing Italy :)",211596,exact_sender_recipient_phase,1472,run_bilateral_search_with_conditional_evs-206556-768,4.112924575805664,13,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.6539879117685019,1.0668354699485154,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8068217004200979,0.15798720996497043
1502,206556,S1901M,ITALY,FRANCE,Have you spoken much to England or Germany? Both seem pretty friendly to me.,211901,exact_sender_recipient_phase,1501,run_bilateral_search_with_conditional_evs-206556-783,0.7975833415985107,11,A ROM - APU | A VEN H | F NAP - ION,0.5989270890426376,1.3774327583240702,A ROM - APU | A VEN H | F NAP - ION,0.6678851955845138,0.07335921531740411
1531,206556,S1901M,FRANCE,GERMANY,I think keeping England out of Belgium works fine for me,215394,exact_sender_recipient_phase,1530,run_bilateral_search_with_conditional_evs-206556-798,2.5981109142303467,11,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.6719324485000006,1.0960292369353315,A MAR - SPA | A PAR - PIC | F BRE - MAO,0.6991610497877881,0.03786518074155101
1560,206556,S1901M,TURKEY,ITALY,That sounds good to me,215734,exact_sender_recipient_phase,1559,run_bilateral_search_with_conditional_evs-206556-813,0.5721168518066406,9,A CON - BUL | A SMY - CON | F ANK - BLA,0.8861782528891629,0.5080653647365413,A CON - BUL | A SMY - CON | F ANK - BLA,0.8633654764363213,0.02292591006742483
