file,line,keywords,text
avalonbench_dev/avalon/engine.py,219,role,            good_roles.append(0)
avalonbench_dev/avalon/engine.py,221,role,            good_roles.append(1)
avalonbench_dev/avalon/engine.py,223,role,        # fill rest of good roles with 5
avalonbench_dev/avalon/engine.py,224,role,        good_roles += [5] * (self.num_good - len(good_roles))
avalonbench_dev/avalon/engine.py,226,role,        # assign good roles randomly
avalonbench_dev/avalon/engine.py,228,role,"        self.roles[good_players] = np.random.choice(good_roles, self.num_good, replace = False)"
avalonbench_dev/avalon/engine.py,230,role,        # return list of role names
avalonbench_dev/avalon/engine.py,231,role,        return [self.config.ROLES[role] for role in self.roles]
avalonbench_dev/avalon/engine.py,233,role,"    def get_role(self, player):"
avalonbench_dev/avalon/engine.py,235,role,"        returns tuple of role index, role name, and whether player is good"
avalonbench_dev/avalon/engine.py,237,role,"        return (self.roles[player], self.config.ROLES[self.roles[player]], self.is_good[player])"
avalonbench_dev/avalon/engine.py,239,role,    def get_roles(self):
avalonbench_dev/avalon/engine.py,241,role,"        returns list of tuples of role index, role name, and whether player is good"
avalonbench_dev/avalon/engine.py,243,role,"        return [(role, self.config.ROLES[role], self.is_good[player]) for player, role in enumerate(self.roles)]"
avalonbench_dev/avalon/engine.py,250,Merlin,"        # if player is Merlin or evil, return all sides"
avalonbench_dev/avalon/engine.py,251,role,        if self.roles[player] == 0 or not self.is_good[player]:
avalonbench_dev/avalon/engine.py,257,phase,    def get_phase(self):
avalonbench_dev/avalon/engine.py,259,phase,        returns tuple of phase index and phase name
avalonbench_dev/avalon/engine.py,261,phase,"        return (self.phase, self.config.PHASES[self.phase])"
avalonbench_dev/avalon/engine.py,263,quest,    def get_quest_leader(self):
avalonbench_dev/avalon/engine.py,265,quest,        returns quest leader
avalonbench_dev/avalon/engine.py,267,quest,        return self.quest_leader
avalonbench_dev/avalon/engine.py,269,team,    def get_team_size(self):
avalonbench_dev/avalon/engine.py,271,team,        returns team size
avalonbench_dev/avalon/engine.py,273,quest,        return self.num_players_for_quest[self.turn]
avalonbench_dev/avalon/engine.py,275,"team,quest","    def choose_quest_team(self, team: frozenset, leader):"
avalonbench_dev/avalon/engine.py,277,"team,quest",        chooses quest team
avalonbench_dev/avalon/engine.py,278,team,        team: list of players on team
avalonbench_dev/avalon/engine.py,279,"quest,phase","        returns: (next phase, whether game is done, next quest leader)"
avalonbench_dev/avalon/engine.py,285,"team,phase","        # check if it is team selection phase. if not, raise error"
avalonbench_dev/avalon/engine.py,286,phase,        if self.phase != 0:
avalonbench_dev/avalon/engine.py,287,"team,phase","            raise AvalonEnvException(""Not in team selection phase"")"
avalonbench_dev/avalon/engine.py,289,team,        # check if team size is valid
avalonbench_dev/avalon/engine.py,290,"team,quest",        # if np.sum(team) != self.num_players_for_quest[self.round]:
avalonbench_dev/avalon/engine.py,291,team,"        #     raise AvalonEnvException(""Invalid team size"")"
avalonbench_dev/avalon/engine.py,293,"team,quest",        if len(team) != self.num_players_for_quest[self.turn]:
avalonbench_dev/avalon/engine.py,294,team,"            raise AvalonEnvException(""Invalid team size"")"
avalonbench_dev/avalon/engine.py,296,quest,        # check if leader is quest leader
avalonbench_dev/avalon/engine.py,297,quest,        if leader != self.quest_leader:
avalonbench_dev/avalon/engine.py,298,quest,"            raise AvalonEnvException(""Not quest leader"")"
avalonbench_dev/avalon/engine.py,300,"team,quest",        self.quest_team = team
avalonbench_dev/avalon/engine.py,302,phase,        # move to next phase
avalonbench_dev/avalon/engine.py,303,phase,        self.phase += 1
avalonbench_dev/avalon/engine.py,304,quest,        self.quest_leader = (self.quest_leader + 1) % self.num_players
avalonbench_dev/avalon/engine.py,306,"quest,phase","        return (self.phase, self.done, self.quest_leader)"
avalonbench_dev/avalon/engine.py,308,"team,quest",    def get_current_quest_team(self):
avalonbench_dev/avalon/engine.py,310,"team,quest",        returns list of players on quest team
avalonbench_dev/avalon/engine.py,312,"team,quest",        return self.quest_team
avalonbench_dev/avalon/engine.py,314,"team,vote","    def gather_team_votes(self, votes: List):"
avalonbench_dev/avalon/engine.py,316,"team,vote,quest","        votes on quest team: list, 0 for reject, 1 for accept"
avalonbench_dev/avalon/engine.py,317,"team,phase","        returns (next phase, whether game is done, whether team is accepted)"
avalonbench_dev/avalon/engine.py,323,"team,phase","        # check if it is team voting phase. if not, raise error"
avalonbench_dev/avalon/engine.py,324,phase,        if self.phase != 1:
avalonbench_dev/avalon/engine.py,325,"team,phase","            raise AvalonEnvException(""Not in team voting phase"")"
avalonbench_dev/avalon/engine.py,327,vote,        # check if votes is valid
avalonbench_dev/avalon/engine.py,328,vote,        if len(votes) != self.num_players:
avalonbench_dev/avalon/engine.py,329,vote,"            raise AvalonEnvException(""Invalid number of votes"")"
avalonbench_dev/avalon/engine.py,331,"team,vote",        self.team_votes = votes
avalonbench_dev/avalon/engine.py,333,team,"        # if this is the MAX_ROUNDS round, then team automatically passes"
avalonbench_dev/avalon/engine.py,335,phase,            self.phase += 1
avalonbench_dev/avalon/engine.py,337,phase,"            return (self.phase, self.done, True)"
avalonbench_dev/avalon/engine.py,339,"team,phase","        # if strict majority accepts, move to next phase. Otherwise back to team selection"
avalonbench_dev/avalon/engine.py,340,vote,        if sum(votes) > self.num_players / 2:
avalonbench_dev/avalon/engine.py,341,phase,            self.phase += 1
avalonbench_dev/avalon/engine.py,343,phase,"            return (self.phase, self.done, True)"
avalonbench_dev/avalon/engine.py,345,phase,            self.phase = 0
avalonbench_dev/avalon/engine.py,347,phase,"            return (self.phase, self.done, False)"
avalonbench_dev/avalon/engine.py,349,"team,vote,quest",    def get_quest_team_votes(self):
avalonbench_dev/avalon/engine.py,351,"team,vote,quest",        returns list of votes on quest team
avalonbench_dev/avalon/engine.py,353,"team,vote,quest",        return self.quest_team_votes
avalonbench_dev/avalon/engine.py,355,"vote,quest","    def gather_quest_votes(self, votes: List):"
avalonbench_dev/avalon/engine.py,357,"vote,quest,fail","        votes on quest: list, 0 for fail, 1 for pass"
avalonbench_dev/avalon/engine.py,358,"quest,fail,phase","        returns: (next phase, whether game is done, whether the quest succeeded, number of fails)"
avalonbench_dev/avalon/engine.py,364,"quest,phase","        # check if it is quest voting phase. if not, raise error"
avalonbench_dev/avalon/engine.py,365,phase,        if self.phase != 2:
avalonbench_dev/avalon/engine.py,366,"quest,phase","            raise AvalonEnvException(""Not in quest voting phase"")"
avalonbench_dev/avalon/engine.py,368,vote,        # check if votes is valid
avalonbench_dev/avalon/engine.py,369,"vote,quest",        if len(votes) != self.num_players_for_quest[self.turn]:
avalonbench_dev/avalon/engine.py,370,vote,"            raise AvalonEnvException(""Invalid number of votes"")"
avalonbench_dev/avalon/engine.py,372,"vote,quest",        self.quest_votes = votes
avalonbench_dev/avalon/engine.py,374,"vote,fail",        num_fails = len(votes) - sum(votes)
avalonbench_dev/avalon/engine.py,376,"quest,fail","        # if number of fails is greater to or equal to number of fails allowed, quest fails"
avalonbench_dev/avalon/engine.py,377,"quest,fail",        if (num_fails) >= self.num_fails_for_quest[self.turn]:
avalonbench_dev/avalon/engine.py,379,quest,            self.quest_results.append(False)
avalonbench_dev/avalon/engine.py,382,"team,quest,fail,phase",            # end game if 3 quests failed. Otherwise go to team selection phase
avalonbench_dev/avalon/engine.py,383,quest,            if len(self.quest_results) - sum(self.quest_results) == 3:
avalonbench_dev/avalon/engine.py,386,"fail,phase","                return (self.phase, self.done, False, num_fails)"
avalonbench_dev/avalon/engine.py,388,phase,                self.phase = 0
avalonbench_dev/avalon/engine.py,389,"fail,phase","                return (self.phase, self.done, False, num_fails)"
avalonbench_dev/avalon/engine.py,392,quest,            self.quest_results.append(True)
avalonbench_dev/avalon/engine.py,395,"Assassin,team,quest,phase",            # go to assassination phase if 3 quests succeeded. Otherwise go to team selection phase
avalonbench_dev/avalon/engine.py,396,quest,            if sum(self.quest_results) == 3:
avalonbench_dev/avalon/engine.py,397,phase,                self.phase += 1
avalonbench_dev/avalon/engine.py,399,phase,                self.phase = 0
avalonbench_dev/avalon/engine.py,400,"fail,phase","            return (self.phase, self.done, True, num_fails)"
avalonbench_dev/avalon/engine.py,402,Assassin,    def get_assassin(self):
avalonbench_dev/avalon/engine.py,404,Assassin,        returns assassin
avalonbench_dev/avalon/engine.py,406,role,        return np.where(self.roles == 7)[0][0]
avalonbench_dev/avalon/engine.py,408,Assassin,"    def choose_assassination_target(self, player, target):"
avalonbench_dev/avalon/engine.py,410,Assassin,        chooses assassination target
avalonbench_dev/avalon/engine.py,411,phase,"        returns: (next phase, whether game is done, whether good wins)"
avalonbench_dev/avalon/engine.py,418,"Assassin,phase","        # check if it is assassination phase. if not, raise error"
avalonbench_dev/avalon/engine.py,419,phase,        if self.phase != 3:
avalonbench_dev/avalon/engine.py,420,"Assassin,phase","            raise AvalonEnvException(""Not in assassination phase"")"
avalonbench_dev/avalon/engine.py,422,Assassin,        # check if player is assassin
avalonbench_dev/avalon/engine.py,423,role,        if self.roles[player] != 7:
avalonbench_dev/avalon/engine.py,424,Assassin,"            raise AvalonEnvException(""Not assassin"")"
avalonbench_dev/avalon/engine.py,428,Assassin,"            raise AvalonEnvException(""Assassin cannot be good"")"
avalonbench_dev/avalon/engine.py,432,Merlin,        # check if target is merlin
avalonbench_dev/avalon/engine.py,433,role,        if self.roles[target] == 0:
avalonbench_dev/avalon/engine.py,435,phase,"            return (self.phase, self.done, False)"
avalonbench_dev/avalon/engine.py,437,"quest,success",        # check if at least 3 successfuel quests
avalonbench_dev/avalon/engine.py,438,quest,        if sum(self.quest_results) >= 3:
avalonbench_dev/avalon/engine.py,440,phase,"            return (self.phase, self.done, True)"
avalonbench_dev/avalon/engine.py,444,phase,"        return (self.phase, self.done, False)"
avalonbench_dev/avalon/engine.py,450,quest,"        'quest_leader': 0,"
avalonbench_dev/avalon/engine.py,451,"Servant,role","        'role_names': ['Servant', 'Percival', 'Morgana', 'Mordred', 'Oberon']"
avalonbench_dev/avalon/engine.py,454,role,    print(env.get_role(0))
avalonbench_dev/avalon/engine.py,458,role,    print(env.get_role(0))
avalonbench_dev/avalon/engine.py,460,role,    # print(env.roles)
avalonbench_dev/avalon/engine.py,462,role,    # print(config.ROLES)
avalonbench_dev/avalon/engine.py,463,role,    # print(config.ROLES_REVERSE)
avalonbench_dev/avalon/test_engine.py,9,role,    # print roles from env
avalonbench_dev/avalon/test_engine.py,10,role,    print(env.get_roles())
avalonbench_dev/avalon/test_engine.py,13,phase,        # print phase from env
avalonbench_dev/avalon/test_engine.py,14,phase,        phase = env.get_phase()[0]
avalonbench_dev/avalon/test_engine.py,15,phase,        print(env.get_phase()[1])
avalonbench_dev/avalon/test_engine.py,17,"team,phase","        # if phase is team selection phase, ask for team"
avalonbench_dev/avalon/test_engine.py,18,phase,        if phase == 0:
avalonbench_dev/avalon/test_engine.py,19,team,"            print(f""Please choose {env.get_team_size()} players in this round."")"
avalonbench_dev/avalon/test_engine.py,20,quest,            leader = env.get_quest_leader()
avalonbench_dev/avalon/test_engine.py,21,team,"            team = [int(x) for x in input(f""Enter team player {leader}: "").split()]"
avalonbench_dev/avalon/test_engine.py,22,"team,quest","            env.choose_quest_team(team, leader)"
avalonbench_dev/avalon/test_engine.py,24,"team,vote,phase","        # if phase is team voting phase, ask for votes"
avalonbench_dev/avalon/test_engine.py,25,phase,        elif phase == 1:
avalonbench_dev/avalon/test_engine.py,26,"team,vote","            votes = [int(x) for x in input(""Enter team votes: "").split()]"
avalonbench_dev/avalon/test_engine.py,27,"team,vote",            env.vote_on_team(votes)
avalonbench_dev/avalon/test_engine.py,29,"vote,quest,phase","        # if phase is quest voting phase, ask for votes"
avalonbench_dev/avalon/test_engine.py,30,phase,        elif phase == 2:
avalonbench_dev/avalon/test_engine.py,31,"vote,quest","            votes = [int(x) for x in input(""Enter quest votes: "").split()]"
avalonbench_dev/avalon/test_engine.py,32,"vote,quest",            env.vote_on_quest(votes)
avalonbench_dev/avalon/test_engine.py,34,"Assassin,phase","        # if phase is assassination phase, ask for assassination"
avalonbench_dev/avalon/test_engine.py,35,phase,        elif phase == 3:
avalonbench_dev/avalon/test_engine.py,36,Assassin,            assassin = env.get_assassin()
avalonbench_dev/avalon/test_engine.py,37,Assassin,"            target = int(input(f""Enter assassination target: ""))"
avalonbench_dev/avalon/test_engine.py,38,Assassin,"            env.choose_assassination_target(assassin, target)"
good_examples/Avalon/dialogue_guide/list.py,1,"Merlin,role,quest","guides = [""""""Six questions to fill out before speaking as the Merlin role"
good_examples/Avalon/dialogue_guide/list.py,7,team,Q3: Who is the current round leader and which players are you considering to suggest for the team?
good_examples/Avalon/dialogue_guide/list.py,9,team,Q4: Create a subtle suggestion that influences the leader's team decision towards your preferred team without revealing your knowledge.
good_examples/Avalon/dialogue_guide/list.py,13,role,"Q6: Craft a statement to share these observations subtly without giving away your role."""""", "
good_examples/Avalon/dialogue_guide/list.py,14,"Merlin,role,quest","""""""Questions to fill out before speaking as the Merlin role"
good_examples/Avalon/dialogue_guide/list.py,20,team,Q3: Who is the current round leader and which players are you considering to suggest for the team?
good_examples/Avalon/dialogue_guide/list.py,22,team,Q4: Create a subtle suggestion that influences the leader's team decision towards your preferred team without revealing your knowledge.
good_examples/Avalon/dialogue_guide/list.py,26,"role,team",Q6: Analyze the voting patterns and team compositions proposed by each player to identify potential alliances or suspicious behaviors. Craft a statement to subtly address these observations without revealing your role.
good_examples/Avalon/dialogue_guide/list.py,28,"discussion,team,success,phase",Q7: Which player seems the most supportive of Good and how can you align with them during the discussion phase to better ensure success for your team?
good_examples/Avalon/dialogue_guide/list.py,30,discussion,"Q8: Assess your level of suspicion towards each player and craft a statement addressing how you will interact with those players during the discussion."""""",      "
good_examples/Avalon/dialogue_guide/list.py,31,"Merlin,role,quest","""""""Questions to fill out before speaking as the Merlin role"
good_examples/Avalon/dialogue_guide/list.py,37,team,Q3: Who is the current round leader and which players are you considering to suggest for the team?
good_examples/Avalon/dialogue_guide/list.py,39,team,Q4: Create a subtle suggestion that influences the leader's team decision towards your preferred team without revealing your knowledge.
good_examples/Avalon/dialogue_guide/list.py,43,role,Q6: Craft a statement to share these observations subtly without giving away your role.
good_examples/Avalon/dialogue_guide/list.py,47,"discussion,phase","Q8: Produce a statement to subtly align yourself with the player you feel most aligned with during the discussion phase."""""","
good_examples/Avalon/dialogue_guide/list.py,48,"Merlin,role,quest","""""""Questions to fill out before speaking as the Merlin role"
good_examples/Avalon/dialogue_guide/list.py,54,team,Q3: Who is the current round leader and which players are you considering to suggest for the team?
good_examples/Avalon/dialogue_guide/list.py,56,team,Q4: Create a subtle suggestion that influences the leader's team decision towards your preferred team without revealing your knowledge.
good_examples/Avalon/dialogue_guide/list.py,60,role,Q6: Craft a statement to share these observations subtly without giving away your role.
good_examples/Avalon/dialogue_guide/list.py,64,"discussion,phase",Q8: Produce a statement to subtly align yourself with the player you feel most aligned with during the discussion phase.
good_examples/Avalon/english.py,1,"Merlin,role,quest","role_to_guide = {0: """"""Six questions to fill out before speaking as the Merlin role"
good_examples/Avalon/english.py,7,team,Q3: Who is the current round leader and which players are you considering to suggest for the team?
good_examples/Avalon/english.py,9,team,Q4: Create a subtle suggestion that influences the leader's team decision towards your preferred team without revealing your knowledge.
good_examples/Avalon/english.py,13,role,"Q6: Craft a statement to share these observations subtly without giving away your role."""""", "
good_examples/Avalon/english.py,14,"Minion,role,quest","6: """"""Six questions to fill out before speaking as the Minion role"
good_examples/Avalon/english.py,18,"team,vote",Q2: Construct a statement to deflect suspicion and support the interpretation of your votes in a way that seems consistent with the Good team's intentions.
good_examples/Avalon/english.py,22,"Merlin,Servant","Q4: Devise a statement that reinforces their trust in you, subtly reinforcing any perception they might have that you are a Servant of Arthur or Merlin."
good_examples/Avalon/english.py,24,"Merlin,Servant,role,discussion",Q5: Write down a strategy on how you could create confusion in the discussion without making it too obvious that you're steering the conversation towards uncertainty. How can you subtly cast doubt on the real Merlin or other Servants' roles/statements?
good_examples/Avalon/english.py,26,"Merlin,Servant,role,action","Q6: If the opportunity arises, jot down a convincing claim to the role of Servant of Arthur or Merlin. Consider your previous statements and actions. How will you substantiate this claim convincingly?"""""","
good_examples/Avalon/english.py,27,"Servant,role,quest","5: """"""Six questions to fill out before speaking as the Servant role"
good_examples/Avalon/english.py,29,discussion,"Q1: From the discussion so far, who do you suspect might be a member of the Evil side and why?"
good_examples/Avalon/english.py,33,vote,"Q3: Who have you identified as potentially being on the Good side, based on their behavior and votes?"
good_examples/Avalon/english.py,37,discussion,"Q5: Prepare a statement that addresses these contradictions, promoting a discussion about it while not becoming too assertive."
good_examples/Avalon/english.py,39,Servant,Q6: Note down your voting decisions in past rounds and their outcomes. Does the pattern support your claim of being a Servant?
good_examples/Avalon/english.py,41,Servant,"Q7: Without revealing you are a Servant, formulate a statement that suggests your consistency and trustworthiness based on your voting pattern."
good_examples/Avalon/english.py,43,"Servant,role,discussion,quest,phase","Remember, the goal of these questions is to aid you in designing effective communication during the discussion phase of the game, aligning with the objectives of the Servant role. Be cautious, observant, and adaptive."""""","
good_examples/Avalon/english.py,44,"Assassin,role,quest","7: """"""Six questions to fill out before speaking as the Assassin role"
good_examples/Avalon/english.py,46,Servant,Q1: Which player seems to have a deeper understanding of the game flow than normal Servants should possess?
good_examples/Avalon/english.py,50,team,Q3: Who has been the most influential in the team selection and voting process?
good_examples/Avalon/english.py,52,discussion,Q4: Devise a statement to express agreement with this player's viewpoint subtly. This should make you less suspicious while enabling you to manipulate the discussion.
good_examples/Avalon/english.py,54,action,Q5: Which player seems the most supportive of your views and actions in the game?
good_examples/Avalon/english.py,56,"team,quest",Q6: Craft a statement subtly emphasizing your alignment with this supportive player’s thoughts. This should increase your chances of being included in quest teams and reduce suspicion around you.
good_examples/Avalon/english.py,58,"Merlin,discussion","Q7: Based on the discussions so far, who do you suspect to be Merlin the most and why?"
good_examples/Avalon/english.py,60,"Merlin,action","Q8: Without revealing your suspicion, devise a statement to interact with this suspected Merlin. This should help gauge their reactions and verify or rule out your suspicion without raising any alarms."""""""
good_examples/Avalon/recon.py,1,"Merlin,role,quest","role_to_guide = {0: """"""Six questions to fill out before speaking as the Merlin role"
good_examples/Avalon/recon.py,3,role,"Q1: What roles do you think the other players have, and why?"
good_examples/Avalon/recon.py,7,role,"Q3: What role do the other players think I have, and why?"
good_examples/Avalon/recon.py,9,role,"Q4: Given the suspected roles of the other players, what should I say next?"
good_examples/Avalon/recon.py,14,"Minion,role,quest","6: """"""Six questions to fill out before speaking as the Minion role"
good_examples/Avalon/recon.py,16,role,"Q1: What roles do you think the other players have, and why?"
good_examples/Avalon/recon.py,20,role,"Q3: What role do the other players think I have, and why?"
good_examples/Avalon/recon.py,22,role,"Q4: Given the suspected roles of the other players, what should I say next?"
good_examples/Avalon/recon.py,27,"Servant,role,quest","5: """"""Six questions to fill out before speaking as the Servant role"
good_examples/Avalon/recon.py,29,role,"Q1: What roles do you think the other players have, and why?"
good_examples/Avalon/recon.py,33,role,"Q3: What role do the other players think I have, and why?"
good_examples/Avalon/recon.py,35,role,"Q4: Given the suspected roles of the other players, what should I say next?"
good_examples/Avalon/recon.py,40,"Assassin,role,quest","7: """"""Six questions to fill out before speaking as the Assassin role"
good_examples/Avalon/recon.py,42,role,"Q1: What roles do you think the other players have, and why?"
good_examples/Avalon/recon.py,46,role,"Q3: What role do the other players think I have, and why?"
good_examples/Avalon/recon.py,48,role,"Q4: Given the suspected roles of the other players, what should I say next?"
good_examples/Avalon/value_heuristics/list.py,4,phase,    phase: int = state['phase']
good_examples/Avalon/value_heuristics/list.py,6,quest,    quest_leader: int = state['quest_leader']
good_examples/Avalon/value_heuristics/list.py,7,"team,quest",    quest_team: set[int] = state['quest_team']
good_examples/Avalon/value_heuristics/list.py,8,quest,    historical_quest_results: list[bool] = state['historical_quest_results']
good_examples/Avalon/value_heuristics/list.py,9,"team,vote",    historical_team_votes: list[bool] = state['historical_team_votes']
good_examples/Avalon/value_heuristics/list.py,11,quest,    num_participants_per_quest: list[int] = state['num_participants_per_quest']
good_examples/Avalon/value_heuristics/list.py,12,"quest,fail",    num_fails_per_quest: list[int] = state['num_fails_per_quest']
good_examples/Avalon/value_heuristics/list.py,13,role,    roles: list[str] = state['roles']
good_examples/Avalon/value_heuristics/list.py,21,"team,phase",    if phase == 0:  # Team selection phase
good_examples/Avalon/value_heuristics/list.py,22,"role,quest",        # Modify the probability of Good winning based on the role of the quest leader
good_examples/Avalon/value_heuristics/list.py,23,"Minion,Assassin,role,quest","        if roles[quest_leader] in ['Minion', 'Assassin']:"
good_examples/Avalon/value_heuristics/list.py,29,role,        intermediate_values['role_influence'] = prob_good_victory
good_examples/Avalon/value_heuristics/list.py,31,"team,phase",    elif phase == 1:  # Team approval phase
good_examples/Avalon/value_heuristics/list.py,32,"team,vote",        if len(historical_team_votes) >= 4:
good_examples/Avalon/value_heuristics/list.py,35,"Minion,Assassin,role,quest","            if roles[quest_leader] in ['Minion', 'Assassin']:"
good_examples/Avalon/value_heuristics/list.py,43,"quest,phase",    elif phase == 2:  # Quest phase
good_examples/Avalon/value_heuristics/list.py,44,"quest,success",        successful_quests = sum(historical_quest_results)
good_examples/Avalon/value_heuristics/list.py,45,"quest,success,fail",        failed_quests = len(historical_quest_results) - successful_quests
good_examples/Avalon/value_heuristics/list.py,46,"quest,success,fail",        if successful_quests > failed_quests:
good_examples/Avalon/value_heuristics/list.py,52,quest,        intermediate_values['quest_outcome'] = prob_good_victory
good_examples/Avalon/value_heuristics/list.py,54,"Assassin,phase",    elif phase == 3:  # Assassination phase
good_examples/Avalon/value_heuristics/list.py,55,"Merlin,role",        if 'Merlin' in roles:
good_examples/Avalon/value_heuristics/list.py,61,Assassin,        intermediate_values['assassination_outcome'] = prob_good_victory
good_examples/Avalon/value_heuristics/list.py,75,phase,    phase = state['phase']
